nombre,precio,descripcion,foto,disponible
Tarjeta Lite,,"Tarjeta plana con QR que abre tu página en hito.uno. La forma más simple de empezar.",/images/products/tarjeta/tarjeta-06.webp,si
Llavero Hito,,"Viaja con tus llaves. Abre tu perfil, tu portfolio o la ficha de una propiedad.",/images/products/llavero/llavero-01.webp,si
Apoyavasos Hito,,"Para la mesa de un bar o un café. Abre la carta, la promo del día o las reseñas.",/images/products/apoyavasos/apoyavasos-01.webp,si
Placa Hito,,"En la pared o el mostrador. Wi-Fi, servicios y a quién buscar, al llegar.",/images/products/placa/placa-01.webp,si
Recibidor Hito,,"Espera en el mostrador con las tres puertas: acercar, escanear o escribir.",/images/products/recibidor/recibidor-01.webp,si
